recommendation_id,device_id,case_id,outcome_type,outcome_description,resolved_at
REC-0001,DEV-0103,CASE-0001,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-25
REC-0002,DEV-0038,CASE-0002,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0003,DEV-0244,CASE-0003,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-23
REC-0004,DEV-0172,CASE-0004,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-18
REC-0005,DEV-0228,CASE-0005,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-13
REC-0006,DEV-0089,CASE-0006,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-28
REC-0007,DEV-0162,CASE-0007,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0008,DEV-0103,CASE-0008,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-29
REC-0009,DEV-0036,CASE-0009,,,
REC-0010,DEV-0225,CASE-0010,False Positive,Benign activity misclassified; no actual security incident.,2026-06-09
REC-0011,DEV-0113,CASE-0011,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-27
REC-0012,DEV-0147,CASE-0012,False Positive,Benign activity misclassified; no actual security incident.,2026-05-30
REC-0013,DEV-0097,CASE-0013,False Positive,Benign activity misclassified; no actual security incident.,2026-05-31
REC-0014,DEV-0220,CASE-0014,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0015,DEV-0233,CASE-0015,,,
REC-0016,DEV-0093,CASE-0016,,,
REC-0017,DEV-0204,CASE-0017,False Positive,Benign activity misclassified; no actual security incident.,2026-05-23
REC-0018,DEV-0061,CASE-0018,,,
REC-0019,DEV-0225,CASE-0019,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-14
REC-0020,DEV-0234,CASE-0020,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-21
REC-0021,DEV-0065,CASE-0021,False Positive,Benign activity misclassified; no actual security incident.,2026-06-16
REC-0022,DEV-0170,CASE-0022,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0023,DEV-0013,CASE-0023,,,
REC-0024,DEV-0122,CASE-0024,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-23
REC-0025,DEV-0144,CASE-0025,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-06-09
REC-0026,DEV-0222,CASE-0026,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-19
REC-0027,DEV-0219,CASE-0027,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-02
REC-0028,DEV-0012,CASE-0028,False Positive,Benign activity misclassified; no actual security incident.,2026-06-11
REC-0029,DEV-0120,CASE-0029,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-03
REC-0030,DEV-0113,CASE-0030,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0031,DEV-0076,CASE-0031,,,
REC-0032,DEV-0109,CASE-0032,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-15
REC-0033,DEV-0170,CASE-0033,False Positive,Benign activity misclassified; no actual security incident.,2026-06-19
REC-0034,DEV-0070,CASE-0034,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-09
REC-0035,DEV-0001,CASE-0035,False Positive,Benign activity misclassified; no actual security incident.,2026-05-25
REC-0036,DEV-0227,CASE-0036,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-07
REC-0037,DEV-0122,CASE-0037,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-04
REC-0038,DEV-0046,CASE-0038,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0039,DEV-0011,CASE-0039,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-16
REC-0040,DEV-0181,CASE-0040,,,
REC-0041,DEV-0154,CASE-0041,,,
REC-0042,DEV-0103,CASE-0042,False Positive,Benign activity misclassified; no actual security incident.,2026-05-27
REC-0043,DEV-0029,CASE-0043,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-30
REC-0044,DEV-0183,CASE-0044,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-26
REC-0045,DEV-0021,CASE-0045,,,
REC-0046,DEV-0121,CASE-0046,,,
REC-0047,DEV-0215,CASE-0047,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-05
REC-0048,DEV-0202,CASE-0048,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0049,DEV-0111,CASE-0049,False Positive,Benign activity misclassified; no actual security incident.,2026-05-29
REC-0050,DEV-0070,CASE-0050,,,
REC-0051,DEV-0079,CASE-0051,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-12
REC-0052,DEV-0212,CASE-0052,,,
REC-0053,DEV-0151,CASE-0053,,,
REC-0054,DEV-0062,CASE-0054,False Positive,Benign activity misclassified; no actual security incident.,2026-06-12
REC-0055,DEV-0060,CASE-0055,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-08
REC-0056,DEV-0097,CASE-0056,False Negative,Threat existed but was missed or dismissed incorrectly.,2026-05-24
REC-0057,DEV-0192,CASE-0057,False Positive,Benign activity misclassified; no actual security incident.,2026-06-14
REC-0058,DEV-0123,CASE-0058,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-17
REC-0059,DEV-0155,CASE-0059,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-06-11
REC-0060,DEV-0218,CASE-0060,Recommendation Incorrect,Action was unnecessary; root cause differed from AI assessment.,2026-06-07
REC-0061,DEV-0246,CASE-0061,,,
REC-0062,DEV-0201,CASE-0062,Recommendation Correct,Verified threat or vulnerability; action validated post-review.,2026-05-24
