recommendation_id,device_id,case_id,if_approved_threat_contained,if_approved_device_isolated,if_approved_user_impact,if_dismissed_malware_spread,if_dismissed_security_risk,if_dismissed_business_impact
REC-0001,DEV-0103,CASE-0001,Threat contained and lateral movement prevented,DEV-0103-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0002,DEV-0038,CASE-0002,Threat contained and lateral movement prevented,DEV-0038-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0003,DEV-0244,CASE-0003,Threat contained and lateral movement prevented,DEV-0244-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0004,DEV-0172,CASE-0004,Threat contained and lateral movement prevented,DEV-0172-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0005,DEV-0228,CASE-0005,Threat contained and lateral movement prevented,DEV-0228-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0006,DEV-0089,CASE-0006,Threat contained and lateral movement prevented,DEV-0089-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0007,DEV-0162,CASE-0007,Threat contained and lateral movement prevented,DEV-0162-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0008,DEV-0103,CASE-0008,Threat contained and lateral movement prevented,DEV-0103-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0009,DEV-0036,CASE-0009,Threat contained and lateral movement prevented,DEV-0036-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0010,DEV-0225,CASE-0010,Threat contained and lateral movement prevented,DEV-0225-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0011,DEV-0113,CASE-0011,Threat contained and lateral movement prevented,DEV-0113-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0012,DEV-0147,CASE-0012,Threat contained and lateral movement prevented,DEV-0147-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0013,DEV-0097,CASE-0013,Threat contained and lateral movement prevented,DEV-0097-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0014,DEV-0220,CASE-0014,Threat contained and lateral movement prevented,DEV-0220-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0015,DEV-0233,CASE-0015,Threat contained and lateral movement prevented,DEV-0233-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0016,DEV-0093,CASE-0016,Threat contained and lateral movement prevented,DEV-0093-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0017,DEV-0204,CASE-0017,Threat contained and lateral movement prevented,DEV-0204-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0018,DEV-0061,CASE-0018,Threat contained and lateral movement prevented,DEV-0061-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Human Resources workflows if threat is real
REC-0019,DEV-0225,CASE-0019,Threat contained and lateral movement prevented,DEV-0225-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0020,DEV-0234,CASE-0020,Threat contained and lateral movement prevented,DEV-0234-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0021,DEV-0065,CASE-0021,Threat contained and lateral movement prevented,DEV-0065-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0022,DEV-0170,CASE-0022,Threat contained and lateral movement prevented,DEV-0170-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0023,DEV-0013,CASE-0023,Threat contained and lateral movement prevented,DEV-0013-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0024,DEV-0122,CASE-0024,Threat contained and lateral movement prevented,DEV-0122-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0025,DEV-0144,CASE-0025,Threat contained and lateral movement prevented,DEV-0144-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0026,DEV-0222,CASE-0026,Threat contained and lateral movement prevented,DEV-0222-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0027,DEV-0219,CASE-0027,Threat contained and lateral movement prevented,DEV-0219-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0028,DEV-0012,CASE-0028,Threat contained and lateral movement prevented,DEV-0012-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Finance workflows if threat is real
REC-0029,DEV-0120,CASE-0029,Threat contained and lateral movement prevented,DEV-0120-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0030,DEV-0113,CASE-0030,Threat contained and lateral movement prevented,DEV-0113-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Executive Office workflows if threat is real
REC-0031,DEV-0076,CASE-0031,Threat contained and lateral movement prevented,DEV-0076-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
REC-0032,DEV-0109,CASE-0032,Threat contained and lateral movement prevented,DEV-0109-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Sales workflows if threat is real
REC-0033,DEV-0170,CASE-0033,Threat contained and lateral movement prevented,DEV-0170-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Data Platform workflows if threat is real
REC-0034,DEV-0070,CASE-0034,Threat contained and lateral movement prevented,DEV-0070-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to IT Operations workflows if threat is real
REC-0035,DEV-0001,CASE-0035,Threat contained and lateral movement prevented,DEV-0001-CORP isolated from corporate network,User temporarily loses access; backup device issued if critical,Potential malware spread to adjacent endpoints,Increased security risk and possible data exfiltration,Business impact to Legal workflows if threat is real
