recommendation_id,device_id,similar_case_id,outcome,resolution
REC-0001,DEV-0103,CASE-0641,False Positive,Dismissed; benign root cause confirmed
REC-0002,DEV-0038,CASE-0162,Recommendation Correct,Approved and threat verified
REC-0003,DEV-0244,CASE-0371,Recommendation Correct,Approved and threat verified
REC-0004,DEV-0172,CASE-0215,Recommendation Correct,Approved and threat verified
REC-0005,DEV-0228,CASE-0377,Recommendation Correct,Approved and threat verified
REC-0006,DEV-0089,CASE-0800,Recommendation Correct,Approved and threat verified
REC-0007,DEV-0162,CASE-0410,Recommendation Correct,Approved and threat verified
REC-0008,DEV-0103,CASE-0752,Recommendation Correct,Approved and threat verified
REC-0009,DEV-0036,CASE-0831,Recommendation Incorrect,Overridden after investigation
REC-0010,DEV-0225,CASE-0923,Recommendation Incorrect,Overridden after investigation
REC-0011,DEV-0113,CASE-0003,False Negative,Escalated; incident response initiated
REC-0012,DEV-0147,CASE-0740,False Positive,Dismissed; benign root cause confirmed
REC-0013,DEV-0097,CASE-0494,Recommendation Correct,Approved and threat verified
REC-0014,DEV-0220,CASE-0508,False Positive,Dismissed; benign root cause confirmed
REC-0015,DEV-0233,CASE-0332,Recommendation Correct,Approved and threat verified
REC-0016,DEV-0093,CASE-0776,False Negative,Escalated; incident response initiated
REC-0017,DEV-0204,CASE-0681,Recommendation Correct,Approved and threat verified
REC-0018,DEV-0061,CASE-0206,Recommendation Correct,Approved and threat verified
REC-0019,DEV-0225,CASE-0505,Recommendation Correct,Approved and threat verified
REC-0020,DEV-0234,CASE-0304,Recommendation Correct,Approved and threat verified
REC-0021,DEV-0065,CASE-0087,False Positive,Dismissed; benign root cause confirmed
REC-0022,DEV-0170,CASE-0428,False Positive,Dismissed; benign root cause confirmed
REC-0023,DEV-0013,CASE-0626,Recommendation Correct,Approved and threat verified
REC-0024,DEV-0122,CASE-0541,Recommendation Correct,Approved and threat verified
REC-0025,DEV-0144,CASE-0078,Recommendation Correct,Approved and threat verified
REC-0026,DEV-0222,CASE-0098,False Positive,Dismissed; benign root cause confirmed
REC-0027,DEV-0219,CASE-0679,False Positive,Dismissed; benign root cause confirmed
REC-0028,DEV-0012,CASE-0809,Recommendation Correct,Approved and threat verified
REC-0029,DEV-0120,CASE-0337,False Negative,Escalated; incident response initiated
