recommendation_id,device_id,case_id,past_similar_cases,correct_recommendations,incorrect_recommendations,historical_reliability_score,known_weaknesses
REC-0001,DEV-0103,CASE-0001,43,49,2,96.1,Limited visibility during VPN outages; Less reliable on previously unseen device models; Over-flags Linux devices
REC-0002,DEV-0038,CASE-0002,76,75,5,93.8,Reduced accuracy on staging environments
REC-0003,DEV-0244,CASE-0003,100,41,0,100.0,Elevated false positives during patch windows
REC-0004,DEV-0172,CASE-0004,78,68,2,97.1,Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0005,DEV-0228,CASE-0005,95,66,3,95.7,Struggles with executive device context
REC-0006,DEV-0089,CASE-0006,15,22,0,100.0,Elevated false positives during patch windows
REC-0007,DEV-0162,CASE-0007,69,26,1,96.3,Limited visibility during VPN outages; Over-flags Linux devices; Struggles with executive device context
REC-0008,DEV-0103,CASE-0008,48,33,0,100.0,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks
REC-0009,DEV-0036,CASE-0009,42,78,3,96.3,Reduced accuracy on staging environments
REC-0010,DEV-0225,CASE-0010,82,40,3,93.0,Struggles with executive device context; Reduced accuracy on staging environments
REC-0011,DEV-0113,CASE-0011,56,75,2,97.4,Elevated false positives during patch windows; Struggles with executive device context
REC-0012,DEV-0147,CASE-0012,43,21,1,95.5,Struggles with executive device context
REC-0013,DEV-0097,CASE-0013,31,55,1,98.2,Limited visibility during VPN outages; Reduced accuracy on staging environments; Less reliable on previously unseen device models
REC-0014,DEV-0220,CASE-0014,105,21,1,95.5,Overweights failed login signals on shared kiosks
REC-0015,DEV-0233,CASE-0015,64,26,1,96.3,Over-flags Linux devices; Limited visibility during VPN outages; Struggles with executive device context
REC-0016,DEV-0093,CASE-0016,82,75,6,92.6,Struggles with executive device context
REC-0017,DEV-0204,CASE-0017,108,50,2,96.2,Over-flags Linux devices; Limited visibility during VPN outages; Reduced accuracy on staging environments
REC-0018,DEV-0061,CASE-0018,64,79,1,98.8,Over-flags Linux devices
REC-0019,DEV-0225,CASE-0019,104,55,3,94.8,Less reliable on previously unseen device models
REC-0020,DEV-0234,CASE-0020,79,39,0,100.0,Less reliable on previously unseen device models; Over-flags Linux devices
REC-0021,DEV-0065,CASE-0021,86,41,1,97.6,Limited visibility during VPN outages; Over-flags Linux devices
REC-0022,DEV-0170,CASE-0022,75,68,1,98.6,Struggles with executive device context
REC-0023,DEV-0013,CASE-0023,114,67,5,93.1,Limited visibility during VPN outages; Struggles with executive device context
REC-0024,DEV-0122,CASE-0024,16,40,0,100.0,Overweights failed login signals on shared kiosks
REC-0025,DEV-0144,CASE-0025,103,28,0,100.0,Reduced accuracy on staging environments
REC-0026,DEV-0222,CASE-0026,55,45,0,100.0,Overweights failed login signals on shared kiosks; Over-flags Linux devices
REC-0027,DEV-0219,CASE-0027,79,54,1,98.2,Limited visibility during VPN outages; Over-flags Linux devices
REC-0028,DEV-0012,CASE-0028,112,64,4,94.1,Elevated false positives during patch windows; Limited visibility during VPN outages
REC-0029,DEV-0120,CASE-0029,33,30,0,100.0,Struggles with executive device context; Limited visibility during VPN outages
REC-0030,DEV-0113,CASE-0030,67,53,0,100.0,Struggles with executive device context; Reduced accuracy on staging environments
REC-0031,DEV-0076,CASE-0031,70,71,0,100.0,Struggles with executive device context; Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0032,DEV-0109,CASE-0032,98,30,1,96.8,Over-flags Linux devices; Elevated false positives during patch windows; Overweights failed login signals on shared kiosks
REC-0033,DEV-0170,CASE-0033,107,23,1,95.8,Overweights failed login signals on shared kiosks
REC-0034,DEV-0070,CASE-0034,119,77,3,96.2,Elevated false positives during patch windows; Reduced accuracy on staging environments
REC-0035,DEV-0001,CASE-0035,48,36,2,94.7,Overweights failed login signals on shared kiosks; Less reliable on previously unseen device models
REC-0036,DEV-0227,CASE-0036,66,37,1,97.4,Less reliable on previously unseen device models; Struggles with executive device context
REC-0037,DEV-0122,CASE-0037,116,79,1,98.8,Overweights failed login signals on shared kiosks; Over-flags Linux devices; Reduced accuracy on staging environments
REC-0038,DEV-0046,CASE-0038,118,52,3,94.5,Limited visibility during VPN outages
REC-0039,DEV-0011,CASE-0039,112,58,0,100.0,Less reliable on previously unseen device models; Over-flags Linux devices
REC-0040,DEV-0181,CASE-0040,50,66,0,100.0,Struggles with executive device context; Less reliable on previously unseen device models; Overweights failed login signals on shared kiosks
REC-0041,DEV-0154,CASE-0041,83,24,0,100.0,Reduced accuracy on staging environments
REC-0042,DEV-0103,CASE-0042,82,45,0,100.0,Elevated false positives during patch windows; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0043,DEV-0029,CASE-0043,29,78,2,97.5,Over-flags Linux devices; Elevated false positives during patch windows
REC-0044,DEV-0183,CASE-0044,36,65,0,100.0,Less reliable on previously unseen device models; Elevated false positives during patch windows
REC-0045,DEV-0021,CASE-0045,56,65,0,100.0,Reduced accuracy on staging environments
REC-0046,DEV-0121,CASE-0046,40,24,0,100.0,Elevated false positives during patch windows
REC-0047,DEV-0215,CASE-0047,32,72,3,96.0,Less reliable on previously unseen device models; Struggles with executive device context; Over-flags Linux devices
REC-0048,DEV-0202,CASE-0048,92,58,2,96.7,Reduced accuracy on staging environments
REC-0049,DEV-0111,CASE-0049,106,40,2,95.2,Elevated false positives during patch windows
REC-0050,DEV-0070,CASE-0050,79,65,2,97.0,Struggles with executive device context
REC-0051,DEV-0079,CASE-0051,97,72,0,100.0,Over-flags Linux devices; Reduced accuracy on staging environments
REC-0052,DEV-0212,CASE-0052,60,69,5,93.2,Struggles with executive device context; Limited visibility during VPN outages
REC-0053,DEV-0151,CASE-0053,21,38,1,97.4,Reduced accuracy on staging environments; Overweights failed login signals on shared kiosks; Elevated false positives during patch windows
REC-0054,DEV-0062,CASE-0054,81,28,1,96.6,Struggles with executive device context
REC-0055,DEV-0060,CASE-0055,43,21,1,95.5,Overweights failed login signals on shared kiosks; Limited visibility during VPN outages; Less reliable on previously unseen device models
REC-0056,DEV-0097,CASE-0056,33,21,1,95.5,Over-flags Linux devices; Overweights failed login signals on shared kiosks
REC-0057,DEV-0192,CASE-0057,86,46,0,100.0,Struggles with executive device context
REC-0058,DEV-0123,CASE-0058,24,38,0,100.0,Over-flags Linux devices; Struggles with executive device context
REC-0059,DEV-0155,CASE-0059,33,64,0,100.0,Over-flags Linux devices; Struggles with executive device context; Limited visibility during VPN outages
REC-0060,DEV-0218,CASE-0060,53,31,1,96.9,Struggles with executive device context
REC-0061,DEV-0246,CASE-0061,20,49,0,100.0,Over-flags Linux devices
