month,month_index,trust_score,approval_rate,override_rate
Jul 2023,1,72.4,61.1,22.5
Jul 2023,2,73.6,59.5,22.1
Aug 2023,3,74.4,61.4,22.1
Sep 2023,4,75.3,62.6,21.9
Oct 2023,5,76.3,63.0,20.8
Nov 2023,6,76.8,64.4,20.7
Dec 2023,7,77.4,62.3,20.9
Jan 2024,8,78.5,63.6,19.1
Feb 2024,9,79.7,64.2,18.3
Mar 2024,10,81.2,67.2,18.5
Apr 2024,11,81.5,66.9,18.1
May 2024,12,82.3,66.8,17.5
Jun 2024,13,83.1,70.3,17.3
Jul 2024,14,83.9,68.4,17.4
Aug 2024,15,85.4,69.4,17.7
Sep 2024,16,85.8,72.1,16.1
Oct 2024,17,86.1,69.8,15.8
Nov 2024,18,87.1,71.7,16.5
Dec 2024,19,87.4,72.6,15.4
Jan 2025,20,88.6,71.5,14.4
Feb 2025,21,89.5,75.2,15.3
Mar 2025,22,89.7,73.4,14.1
Apr 2025,23,90.6,75.7,13.7
May 2025,24,91.4,76.4,13.7
Jun 2025,25,91.8,76.8,13.2
Jul 2025,26,93.4,78.6,12.6
Aug 2025,27,93.8,77.6,12.7
Sep 2025,28,95.0,78.1,13.3
Oct 2025,29,95.0,81.1,12.6
Nov 2025,30,95.0,80.4,12.5
Dec 2025,31,95.0,82.6,11.8
Jan 2026,32,95.0,83.6,11.9
Feb 2026,33,95.0,81.5,11.7
Mar 2026,34,95.0,83.5,11.3
Apr 2026,35,95.0,82.4,10.2
May 2026,36,95.0,85.2,9.2
